Line Number,msgid,msgstr,Status
28," Unlink Payment on Cancellation of Employee Advance"," ยกเลิกการเชื่อมโยงการชำระเงินเมื่อยกเลิกเงินล่วงหน้าของพนักงาน",Translated
32,""\""From Date\"" can not be greater than or equal to \""To Date\"""","“ตั้งแต่วันที่” ไม่สามารถมากกว่าหรือเท่ากับ “ถึงวันที่” ได้",Translated
36,"% Utilization (B + NB) / T","",Untranslated
40,"% Utilization (B / T)","",Untranslated
45,"'employee_field_value' and 'timestamp' are required.","",Untranslated
49,") for {0}","",Untranslated
54,"...Fetching Employees","",Untranslated
59,"0.25","",Untranslated
65,"0.5","",Untranslated
71,"00:00","",Untranslated
77,"01:00","",Untranslated
83,"02:00","",Untranslated
89,"03:00","",Untranslated
95,"04:00","",Untranslated
101,"05:00","",Untranslated
107,"06:00","",Untranslated
113,"07:00","",Untranslated
119,"08:00","",Untranslated
124,"09:00","",Untranslated
130,"1.0","",Untranslated
136,"10:00","",Untranslated
142,"11:00","",Untranslated
148,"12:00","",Untranslated
154,"13:00","",Untranslated
160,"14:00","",Untranslated
166,"15:00","",Untranslated
172,"16:00","",Untranslated
178,"17:00","",Untranslated
184,"18:00","",Untranslated
190,"19:00","",Untranslated
196,"20:00","",Untranslated
202,"21:00","",Untranslated
208,"22:00","",Untranslated
212,"23:00","",Untranslated
218,"<b>Base</b> amount has not been set for the following employee(s): {0}","",Untranslated
223,"<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972","",Untranslated
228,"<b>Total Leaves Allocated</b> are more than the number of days in the allocation period","",Untranslated
252,""<h3>Help</h3>\n\n<p>Notes:</p>\n\n<ol>\n<li>Use field <code>base</code> for using base salary of the Employee</li>\n<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>\n<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>\n<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>\n<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>\n\n<h4>Examples</h4>\n<ol>\n<li>Calculating Basic Salary based on <code>base</code>\n<pre><code>Condition: base &lt; 10000</code></pre>\n<pre><code>Formula: base * .2</code></pre></li>\n<li>Calculating HRA based on Basic Salary<code>BS</code> \n<pre><code>Condition: BS &gt; 2000</code></pre>\n<pre><code>Formula: BS * .1</code></pre></li>\n<li>Calculating TDS based on Employment Type<code>employment_type</code> \n<pre><code>Condition: employment_type==\""Intern\""</code></pre>\n<pre><code>Amount: 1000</code></pre></li>\n</ol>"","",Untranslated
264,""<h4>Condition Examples</h4>\n<ol>\n<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>\n<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>\n<code>Condition: gender==\""Male\""</code></li><br>\n<li>Applying tax by Salary Component<br>\n<code>Condition: base &gt; 10000</code></li></ol>"","",Untranslated
270,"<h5>Employees on Half Day</h5>","",Untranslated
276,"<h5>Unmarked Employees</h5>","",Untranslated
289,"<hr>","",Untranslated
294,""<span class=\""h4\""><b>Masters &amp; Reports</b></span>"","",Untranslated
299,""<span class=\""h4\""><b>Masters &amp; Transactions</b></span>"","",Untranslated
304,""<span class=\""h4\""><b>Reports &amp; Masters</b></span>"","",Untranslated
325,""<span class=\""h4\""><b>Transactions &amp; Reports</b></span>"","",Untranslated
330,""<span class=\""h4\""><b>Your Shortcuts</b></span>"",""<span class=\""h4\""><b>ทางลัดของคุณ</b></span>"",Translated
334,""<span style=\""font-size: 18px;\""><b>Masters &amp; Reports</b></span>"","",Untranslated
338,"<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>","",Untranslated
343,"A Job Requisition for {0} requested by {1} already exists: {2}","คำขอจ้างงานสำหรับตำแหน่ง {0} ที่ขอโดย {1} มีอยู่แล้ว: {2}",Translated
348,"A friendly reminder of an important date for our team.","",Untranslated
356,"A {0} exists between {1} and {2} (","",Untranslated
375,"Abbr","ตัวย่อ",Translated
381,"Absent","ขาดงาน",Translated
385,"Absent Days","",Untranslated
390,"Absent Records","",Untranslated
401,"Academics User","",Untranslated
413,"Accepted","",Untranslated
419,"Account","บัญชี",Translated
423,"Account Head","",Untranslated
427,"Account No","เลขที่บัญชี",Translated
431,""Account type cannot be set for payroll payable account {0}, please remove and try again"","",Untranslated
435,"Account {0} does not belong to company: {1}","",Untranslated
449,"Account {0} does not match with Company {1}","",Untranslated
455,"Accounting","",Untranslated
461,"Accounting & Payment","",Untranslated
466,"Accounting Details","",Untranslated
487,"Accounting Dimension","",Untranslated
491,"Accounting Dimensions","",Untranslated
498,"Accounting Ledger","",Untranslated
507,"Accounting Reports","",Untranslated
514,"Accounts","",Untranslated
521,"Accounts Payable","เจ้าหนี้การค้า",Translated
526,"Accounts Receivable","ลูกหนี้การค้า",Translated
530,"Accounts Settings","การตั้งค่าบัญชี",Translated
534,"Accounts not set for Salary Component {0}","",Untranslated
541,"Accrual Journal Entry for salaries from {0} to {1}","",Untranslated
545,"Action","",Untranslated
557,"Action on Submission","",Untranslated
570,"Actions","",Untranslated
587,"Active","",Untranslated
593,"Activities","",Untranslated
598,"Activity Name","",Untranslated
604,"Activity Type","",Untranslated
609,"Actual Amount","",Untranslated
616,"Actual Cost","",Untranslated
620,"Actual Encashable Days","",Untranslated
625,"Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.","",Untranslated
629,"Add Day-wise Dates","",Untranslated
633,"Add Employee Property","",Untranslated
637,"Add Expense","",Untranslated
641,"Add Feedback","",Untranslated
645,"Add Tax","",Untranslated
653,"Add to Details","",Untranslated
659,"Add unused leaves from previous allocations","",Untranslated
665,"Add unused leaves from previous leave period's allocation to this allocation","",Untranslated
669,"Added On","",Untranslated
673,"Added tax components from the Salary Component master as the salary structure didn't have any tax component.","",Untranslated
678,"Added to details","",Untranslated
684,"Additional Amount","",Untranslated
688,"Additional Information ","",Untranslated
701,"Additional PF","",Untranslated
706,"Additional Salary","",Untranslated
710,"Additional Salary ","",Untranslated
714,"Additional Salary for referral bonus can only be created against Employee Referral with status {0}","",Untranslated
718,"Additional Salary for this salary component with {0} enabled already exists for this date","",Untranslated
723,"Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3}","",Untranslated
728,"Address of Organizer","",Untranslated
735,"Advance","",Untranslated
744,"Advance Account","",Untranslated
750,"Advance Amount","",Untranslated
756,"Advance Paid","",Untranslated
768,"Advance Payments","",Untranslated
775,"Advanced Filters","",Untranslated
782,"Advances","",Untranslated
786,"All","",Untranslated
790,"All Goals","",Untranslated
794,"All Jobs","",Untranslated
798,"All allocated assets should be returned before submission","",Untranslated
804,"All the mandatory tasks for employee creation are not completed yet.","",Untranslated
808,"Allocate Based On Leave Policy","",Untranslated
812,"Allocate Leave","",Untranslated
816,"Allocate Leaves","",Untranslated
821,"Allocate leaves to {0} employee(s)?","",Untranslated
827,"Allocate on Day","",Untranslated
831,"Allocated Amount","",Untranslated
835,"Allocated Leaves","",Untranslated
839,"Allocated {0} leave(s) via scheduler on {1} based on the 'Allocate on Day' option set to {2}","",Untranslated
847,"Allocating Leave","",Untranslated
851,"Allocation","",Untranslated
857,"Allocation Expired!","",Untranslated
862,"Allow Employee Checkin from Mobile App","",Untranslated
868,"Allow Encashment","",Untranslated
873,"Allow Geolocation Tracking","",Untranslated
880,"Allow Leave Application After (Working Days)","",Untranslated
885,"Allow Multiple Shift Assignments for Same Date","",Untranslated
890,"Allow Negative Balance","",Untranslated
895,"Allow Over Allocation","",Untranslated
900,"Allow Tax Exemption","",Untranslated
905,"Allow User","",Untranslated
911,"Allow Users","",Untranslated
917,"Allow check-out after shift end time (in minutes)","",Untranslated
923,"Allow the following users to approve Leave Applications for block days.","",Untranslated
929,"Allows allocating more leaves than the number of days in the allocation period.","",Untranslated
1036,"Alternating entries as IN and OUT during the same shift","",Untranslated
1059,"Amended From","",Untranslated
1063,"Amount","",Untranslated
1073,"Amount Based on Formula","",Untranslated
1079,"Amount based on formula","",Untranslated
1085,"Amount claimed via Expense Claim","",Untranslated
1091,"Amount of expense","",Untranslated
1097,"Amount paid against this encashment","",Untranslated
1101,"Amount scheduled for deduction via salary","",Untranslated
1107,"Amount should not be less than zero","",Untranslated
1111,"Amount that has been paid against this advance","",Untranslated
1115,""An amount of {0} already claimed for the component {1}, set the amount equal or greater than {2}"","",Untranslated
1121,"An attendance record is linked to this checkin. Please cancel the attendance before modifying time.","",Untranslated
1125,"Annual Allocation","",Untranslated
1129,"Annual Allocation Exceeded","",Untranslated
1134,"Annual Salary","",Untranslated
1139,"Annual Taxable Amount","",Untranslated
1144,"Any other details","",Untranslated
1150,""Any other remarks, noteworthy effort that should go in the records"","",Untranslated
1156,"Applicable Earnings Component","",Untranslated
1162,"Applicable For","",Untranslated
1167,"Applicable in the case of Employee Onboarding","",Untranslated
1176,"Applicant Email Address","",Untranslated
1181,"Applicant Name","",Untranslated
1186,"Applicant Rating","",Untranslated
1190,"Applicant for a Job","",Untranslated
1195,"Applicant name","",Untranslated
1199,"Application","",Untranslated
1203,"Application Status","",Untranslated
1207,"Application period cannot be across two allocation records","",Untranslated
1211,"Application period cannot be outside leave allocation period","",Untranslated
1215,"Applications Received","",Untranslated
1221,"Applications received:","",Untranslated
1225,"Applies to Company","",Untranslated
1230,"Apply","",Untranslated
1234,"Apply / Approve Leaves","",Untranslated
1239,"Apply Filters","",Untranslated
1244,"Apply Now","",Untranslated
1249,"Appointment","",Untranslated
1256,"Appointment Date","",Untranslated
1266,"Appointment Letter","",Untranslated
1271,"Appointment Letter Template","",Untranslated
1284,"Appointment Letter content","",Untranslated
1301,"Appraisal","",Untranslated
1306,"Appraisal Cycle","",Untranslated
1311,"Appraisal Goal","",Untranslated
1316,"Appraisal KRA","",Untranslated
1323,"Appraisal Linking","",Untranslated
1334,"Appraisal Overview","",Untranslated
1339,"Appraisal Template","",Untranslated
1343,"Appraisal Template Goal","",Untranslated
1348,"Appraisal Template Missing","",Untranslated
1352,"Appraisal Template Title","",Untranslated
1356,"Appraisal Template not found for some designations.","",Untranslated
1360,"Appraisal creation is queued. It may take a few minutes.","",Untranslated
1364,"Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period","",Untranslated
1369,"Appraisal {0} does not belong to Employee {1}","",Untranslated
1373,"Appraisee","",Untranslated
1377,"Appraisees: {0}","",Untranslated
1384,"Apprentice","",Untranslated
1389,"Approval","",Untranslated
1393,"Approval Status","",Untranslated
1398,"Approval Status must be 'Approved' or 'Rejected'","",Untranslated
1409,"Approve","",Untranslated
1418,"Approved","",Untranslated
1422,"Approver","",Untranslated
1427,"Approvers","",Untranslated
1431,"Apr","",Untranslated
1436,"Archive","",Untranslated
1440,"Archived","",Untranslated
1444,"Are you sure you want to delete the attachment","",Untranslated
1448,"Are you sure you want to delete the {0}","",Untranslated
1454,"Are you sure you want to email the selected salary slips?","",Untranslated
1458,"Are you sure you want to proceed?","คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?",Translated
1463,"Are you sure you want to reject the Employee Referral?","",Untranslated
1467,"Arrival Datetime","",Untranslated
1472,"As per your assigned Salary Structure you cannot apply for benefits","",Untranslated
1476,"Asset Name","ชื่อสินทรัพย์",Translated
1482,"Asset Recovery Cost for {0}: {1}","",Untranslated
1486,"Assets Allocated","",Untranslated
1492,"Assign Salary Structure to {0} employee(s)?","",Untranslated
1498,"Assign Shift","",Untranslated
1502,"Assign Shift Schedule","",Untranslated
1506,"Assign Structure","",Untranslated
1510,"Assigning Salary Structure","",Untranslated
1514,"Assigning Structure...","",Untranslated
1518,"Assigning Structures...","",Untranslated
1524,"Assigning...","",Untranslated
1529,"Assignment based on","",Untranslated
1535,"Associate Job Opening","",Untranslated
1541,"Associated Document","",Untranslated
1545,"Associated Document Type","",Untranslated
1551,"At least one interview has to be selected.","",Untranslated
1561,"Attach Proof","",Untranslated
1581,"Attachments","",Untranslated
1585,"Attendance","",Untranslated
1590,"Attendance Calendar","",Untranslated
1596,"Attendance Count","",Untranslated
1601,"Attendance Date","",Untranslated
1605,"Attendance From Date","",Untranslated
1609,"Attendance From Date and Attendance To Date is mandatory","",Untranslated
1616,"Attendance ID","",Untranslated
1627,"Attendance Marked","",Untranslated
1631,"Attendance Request","",Untranslated
1637,"Attendance Request History","",Untranslated
1642,"Attendance Settings","",Untranslated
1646,"Attendance To Date","",Untranslated
1650,"Attendance Updated","",Untranslated
1654,"Attendance Warnings","",Untranslated
1658,"Attendance date {0} can not be less than employee {1}'s joining date: {2}","",Untranslated
1662,"Attendance for all the employees under this criteria has been marked already.","",Untranslated
1666,"Attendance for employee {0} is already marked for an overlapping shift {1}: {2}","",Untranslated
1670,"Attendance for employee {0} is already marked for the date {1}: {2}","",Untranslated
1674,"Attendance for employee {0} is already marked for the following dates: {1}","",Untranslated
1678,"Attendance for the following dates will be skipped/overwritten on submission","",Untranslated
1682,"Attendance from {0} to {1} has already been marked for the Employee {2}","",Untranslated
1686,"Attendance has been marked as per employee check-ins","",Untranslated
1690,"Attendance has been marked for all the employees between the selected payroll dates.","",Untranslated
1694,"Attendance is pending for these employees between the selected payroll dates. Mark attendance to proceed. Refer {0} for details.","",Untranslated
1698,"Attendance marked successfully","",Untranslated
1702,"Attendance not submitted for {0} as it is a Holiday.","",Untranslated
1708,"Attendance not submitted for {0} as {1} is on leave.","",Untranslated
1712,"Attendance will be marked automatically only after this date.","",Untranslated
1718,"AttendanceRequestListView","",Untranslated
1722,"Attendees","",Untranslated
1727,"Attrition Count","",Untranslated
1733,"Aug","",Untranslated
1738,"Auto Attendance Settings","",Untranslated
1744,"Auto Leave Encashment","",Untranslated
1750,"Automated Based on Goal Progress","",Untranslated
1755,""Automatically fetches all assets allocated to the employee, if any"","",Untranslated
1760,"Automatically update Last Sync of Checkin","",Untranslated
1764,"Available Leave(s)","",Untranslated
1770,"Available Leaves","",Untranslated
1776,"Average Feedback Score","",Untranslated
1781,"Average Rating","",Untranslated
1785,""Average of Goal Score, Feedback Score, and Self Appraisal Score (out of 5)"","",Untranslated
1789,"Average rating of demonstrated skills","",Untranslated
1793,"Avg Feedback Score","",Untranslated
1797,"Avg Utilization","",Untranslated
1802,"Avg Utilization (Billed Only)","",Untranslated
1806,"Awaiting Response","",Untranslated
1810,"Backdated Leave Application is restricted. Please set the {} in {}","",Untranslated
1815,"Bank","",Untranslated
1820,"Bank Account","",Untranslated
1825,"Bank Account No","",Untranslated
1829,"Bank Details","",Untranslated
1835,"Bank Entries","",Untranslated
1842,"Bank Name","",Untranslated
1848,"Bank Remittance","",Untranslated
1854,"Base","",Untranslated
1859,"Base & Variable","",Untranslated
1865,"Begin On (Days)","",Untranslated
1870,"Begin check-in before shift start time (in minutes)","",Untranslated
1874,"Beginner","",Untranslated
1878,"Below is the list of upcoming holidays for you:","",Untranslated
1889,"Benefit","",Untranslated
1893,"Benefits","",Untranslated
1897,"Bill Amount","",Untranslated
1901,"Billed Hours","",Untranslated
1914,"Billed Hours (B)","",Untranslated
1918,"Bimonthly","",Untranslated
1922,"Birthday Reminder","",Untranslated
1927,"Birthday Reminder 🎂","",Untranslated
1932,"Birthdays","",Untranslated
1937,"Block Date","",Untranslated
1942,"Block Days","",Untranslated
1947,"Block Holidays on important days.","",Untranslated
1953,"Blue","",Untranslated
1959,"Body","",Untranslated
1964,"Bonus","",Untranslated
1969,"Bonus Amount","",Untranslated
