Line Number,msgid,msgstr,Status
28," Unlink Payment on Cancellation of Employee Advance"," ยกเลิกการเชื่อมโยงการชำระเงินเมื่อยกเลิกเงินล่วงหน้าของพนักงาน",Translated
32,""\""From Date\"" can not be greater than or equal to \""To Date\"""","“ตั้งแต่วันที่” ไม่สามารถมากกว่าหรือเท่ากับ “ถึงวันที่” ได้",Translated
36,"% Utilization (B + NB) / T","% การใช้งาน (B + NB) / T",Translated
40,"% Utilization (B / T)","% การใช้งาน (B / T)",Translated
45,"'employee_field_value' and 'timestamp' are required.","ต้องระบุ 'employee_field_value' และ 'timestamp'",Translated
49,") for {0}",") สำหรับ {0}",Translated
54,"...Fetching Employees","...กำลังดึงข้อมูลพนักงาน",Translated
59,"0.25","0.25",Untranslated
65,"0.5","0.5",Untranslated
71,"00:00","00:00",Untranslated
77,"01:00","01:00",Untranslated
83,"02:00","02:00",Untranslated
89,"03:00","03:00",Untranslated
95,"04:00","04:00",Untranslated
101,"05:00","05:00",Untranslated
107,"06:00","06:00",Untranslated
113,"07:00","07:00",Untranslated
119,"08:00","08:00",Untranslated
124,"09:00","09:00",Untranslated
130,"1.0","1.0",Untranslated
136,"10:00","10:00",Untranslated
142,"11:00","11:00",Untranslated
148,"12:00","12:00",Untranslated
154,"13:00","13:00",Untranslated
160,"14:00","14:00",Untranslated
166,"15:00","15:00",Untranslated
172,"16:00","16:00",Untranslated
178,"17:00","17:00",Untranslated
184,"18:00","18:00",Untranslated
190,"19:00","19:00",Untranslated
196,"20:00","20:00",Untranslated
202,"21:00","21:00",Untranslated
208,"22:00","22:00",Untranslated
212,"23:00","23:00",Untranslated
218,"<b>Base</b> amount has not been set for the following employee(s): {0}","<b>จำนวนเงินพื้นฐาน</b> ยังไม่ได้ถูกตั้งค่าสำหรับพนักงานต่อไปนี้: {0}",Translated
223,"<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972","<b>ตัวอย่าง:</b> SAL-{first_name}-{date_of_birth.year} <br>ซึ่งจะสร้างรหัสผ่านเช่น SAL-Jane-1972",Translated
228,"<b>Total Leaves Allocated</b> are more than the number of days in the allocation period","<b>จำนวนวันลาที่จัดสรรทั้งหมด</b> มากกว่าจำนวนวันในรอบการจัดสรร",Translated
252,""<h3>Help</h3>\n\n<p>Notes:</p>\n\n<ol>\n<li>Use field <code>base</code> for using base salary of the Employee</li>\n<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>\n<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>\n<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>\n<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>\n\n<h4>Examples</h4>\n<ol>\n<li>Calculating Basic Salary based on <code>base</code>\n<pre><code>Condition: base &lt; 10000</code></pre>\n<pre><code>Formula: base * .2</code></pre></li>\n<li>Calculating HRA based on Basic Salary<code>BS</code> \n<pre><code>Condition: BS &gt; 2000</code></pre>\n<pre><code>Formula: BS * .1</code></pre></li>\n<li>Calculating TDS based on Employment Type<code>employment_type</code> \n<pre><code>Condition: employment_type==\""Intern\""</code></pre>\n<pre><code>Amount: 1000</code></pre></li>\n</ol>"",""<h3>ความช่วยเหลือ</h3>\n\n<p>หมายเหตุ:</p>\n\n<ol>\n<li>ใช้ฟิลด์ <code>base</code> สำหรับการใช้เงินเดือนพื้นฐานของพนักงาน</li>\n<li>ใช้อักษรย่อขององค์ประกอบเงินเดือนในเงื่อนไขและสูตร เช่น <code>BS = Basic Salary</code></li>\n<li>ใช้ชื่อฟิลด์สำหรับรายละเอียดพนักงานในเงื่อนไขและสูตร เช่น <code>Employment Type = employment_type</code>, <code>Branch = branch</code></li>\n<li>ใช้ชื่อฟิลด์จากสลิปเงินเดือนในเงื่อนไขและสูตร เช่น <code>Payment Days = payment_days</code>, <code>Leave without pay = leave_without_pay</code></li>\n<li>สามารถป้อนจำนวนเงินโดยตรงตามเงื่อนไขได้ ดูตัวอย่างที่ 3</li></ol>\n\n<h4>ตัวอย่าง</h4>\n<ol>\n<li>การคำนวณเงินเดือนพื้นฐานจาก <code>base</code>\n<pre><code>เงื่อนไข: base &lt; 10000</code></pre>\n<pre><code>สูตร: base * .2</code></pre></li>\n<li>การคำนวณ HRA จากเงินเดือนพื้นฐาน <code>BS</code> \n<pre><code>เงื่อนไข: BS &gt; 2000</code></pre>\n<pre><code>สูตร: BS * .1</code></pre></li>\n<li>การคำนวณ TDS ตามประเภทการจ้างงาน <code>employment_type</code> \n<pre><code>เงื่อนไข: employment_type==\""Intern\""</code></pre>\n<pre><code>จำนวนเงิน: 1000</code></pre></li>\n</ol>"",Translated
264,""<h4>Condition Examples</h4>\n<ol>\n<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>\n<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>\n<code>Condition: gender==\""Male\""</code></li><br>\n<li>Applying tax by Salary Component<br>\n<code>Condition: base &gt; 10000</code></li></ol>"",""<h4>ตัวอย่างเงื่อนไข</h4>\n<ol>\n<li>การใช้ภาษีหากพนักงานเกิดระหว่าง 31-12-1937 และ 01-01-1958 (พนักงานอายุ 60 ถึง 80 ปี)<br>\n<code>เงื่อนไข: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>การใช้ภาษีตามเพศของพนักงาน<br>\n<code>เงื่อนไข: gender==\""Male\""</code></li><br><li>การใช้ภาษีตามองค์ประกอบเงินเดือน<br>\n<code>เงื่อนไข: base &gt; 10000</code></li></ol>"",Translated
270,"<h5>Employees on Half Day</h5>","<h5>พนักงานที่ทำงานครึ่งวัน</h5>",Translated
276,"<h5>Unmarked Employees</h5>","<h5>พนักงานที่ยังไม่ได้บันทึกเวลา</h5>",Translated
289,"<hr>","<hr>",Untranslated
294,""<span class=\""h4\""><b>Masters &amp; Reports</b></span>"",""<span class=\""h4\""><b>ข้อมูลหลักและรายงาน</b></span>"",Translated
299,""<span class=\""h4\""><b>Masters &amp; Transactions</b></span>"",""<span class=\""h4\""><b>ข้อมูลหลักและรายการ</b></span>"",Translated
304,""<span class=\""h4\""><b>Reports &amp; Masters</b></span>"",""<span class=\""h4\""><b>รายงานและข้อมูลหลัก</b></span>"",Translated
325,""<span class=\""h4\""><b>Transactions &amp; Reports</b></span>"",""<span class=\""h4\""><b>รายการและรายงาน</b></span>"",Translated
330,""<span class=\""h4\""><b>Your Shortcuts</b></span>"",""<span class=\""h4\""><b>ทางลัดของคุณ</b></span>"",Translated
334,""<span style=\""font-size: 18px;\""><b>Masters &amp; Reports</b></span>"",""<span style=\""font-size: 18px;\""><b>ข้อมูลหลักและรายงาน</b></span>"",Translated
338,"<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>","<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>",Untranslated
343,"A Job Requisition for {0} requested by {1} already exists: {2}","คำขอจ้างงานสำหรับตำแหน่ง {0} ที่ขอโดย {1} มีอยู่แล้ว: {2}",Translated
348,"A friendly reminder of an important date for our team.","การแจ้งเตือนสำหรับวันสำคัญของทีมเรา",Translated
356,"A {0} exists between {1} and {2} (","มี {0} อยู่ระหว่าง {1} และ {2} (",Translated
375,"Abbr","ตัวย่อ",Translated
381,"Absent","ขาดงาน",Translated
385,"Absent Days","วันขาดงาน",Translated
390,"Absent Records","บันทึกการขาดงาน",Translated
401,"Academics User","ผู้ใช้ฝ่ายวิชาการ",Translated
413,"Accepted","ยอมรับแล้ว",Translated
419,"Account","บัญชี",Translated
423,"Account Head","หัวบัญชี",Translated
427,"Account No","เลขที่บัญชี",Translated
431,""Account type cannot be set for payroll payable account {0}, please remove and try again"",""ไม่สามารถตั้งค่าประเภทบัญชีสำหรับบัญชีเจ้าหนี้เงินเดือน {0} ได้ โปรดลบและลองอีกครั้ง"",Translated
435,"Account {0} does not belong to company: {1}","บัญชี {0} ไม่ได้เป็นของบริษัท: {1}",Translated
449,"Account {0} does not match with Company {1}","บัญชี {0} ไม่ตรงกับบริษัท {1}",Translated
455,"Accounting","การบัญชี",Translated
461,"Accounting & Payment","การบัญชีและการชำระเงิน",Translated
466,"Accounting Details","รายละเอียดทางบัญชี",Translated
487,"Accounting Dimension","มิติทางบัญชี",Translated
491,"Accounting Dimensions","มิติทางบัญชี",Translated
498,"Accounting Ledger","สมุดบัญชีแยกประเภท",Translated
507,"Accounting Reports","รายงานทางบัญชี",Translated
514,"Accounts","บัญชี",Translated
521,"Accounts Payable","เจ้าหนี้การค้า",Translated
526,"Accounts Receivable","ลูกหนี้การค้า",Translated
530,"Accounts Settings","การตั้งค่าบัญชี",Translated
534,"Accounts not set for Salary Component {0}","ยังไม่ได้ตั้งค่าบัญชีสำหรับองค์ประกอบเงินเดือน {0}",Translated
541,"Accrual Journal Entry for salaries from {0} to {1}","รายการสมุดรายวันค้างจ่ายสำหรับเงินเดือนตั้งแต่ {0} ถึง {1}",Translated
545,"Action","การดำเนินการ",Translated
557,"Action on Submission","การดำเนินการเมื่อส่ง",Translated
570,"Actions","การดำเนินการ",Translated
587,"Active","ใช้งาน",Translated
593,"Activities","กิจกรรม",Translated
598,"Activity Name","ชื่อกิจกรรม",Translated
604,"Activity Type","ประเภทกิจกรรม",Translated
609,"Actual Amount","จำนวนเงินจริง",Translated
616,"Actual Cost","ต้นทุนจริง",Translated
620,"Actual Encashable Days","วันที่สามารถแลกเป็นเงินสดได้จริง",Translated
625,"Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.","ยอดคงเหลือจริงไม่พร้อมใช้งานเนื่องจากใบลาครอบคลุมการจัดสรรวันลาที่แตกต่างกัน คุณยังสามารถยื่นใบลาซึ่งจะได้รับการชดเชยในการจัดสรรครั้งต่อไป",Translated
629,"Add Day-wise Dates","เพิ่มวันที่ตามรายวัน",Translated
633,"Add Employee Property","เพิ่มคุณสมบัติพนักงาน",Translated
637,"Add Expense","เพิ่มค่าใช้จ่าย",Translated
641,"Add Feedback","เพิ่มข้อเสนอแนะ",Translated
645,"Add Tax","เพิ่มภาษี",Translated
653,"Add to Details","เพิ่มในรายละเอียด",Translated
659,"Add unused leaves from previous allocations","เพิ่มวันลาที่ไม่ได้ใช้จากการจัดสรรครั้งก่อน",Translated
665,"Add unused leaves from previous leave period's allocation to this allocation","เพิ่มวันลาที่ไม่ได้ใช้จากการจัดสรรรอบการลาก่อนหน้ามายังการจัดสรรนี้",Translated
669,"Added On","เพิ่มเมื่อ",Translated
673,"Added tax components from the Salary Component master as the salary structure didn't have any tax component.","เพิ่มองค์ประกอบภาษีจากข้อมูลหลักขององค์ประกอบเงินเดือน เนื่องจากโครงสร้างเงินเดือนไม่มีองค์ประกอบภาษี",Translated
678,"Added to details","เพิ่มในรายละเอียดแล้ว",Translated
684,"Additional Amount","จำนวนเงินเพิ่มเติม",Translated
688,"Additional Information ","ข้อมูลเพิ่มเติม",Translated
701,"Additional PF","กองทุนสำรองเลี้ยงชีพเพิ่มเติม",Translated
706,"Additional Salary","เงินเดือนเพิ่มเติม",Translated
710,"Additional Salary ","เงินเดือนเพิ่มเติม",Translated
714,"Additional Salary for referral bonus can only be created against Employee Referral with status {0}","เงินเดือนเพิ่มเติมสำหรับโบนัสการแนะนำพนักงานสามารถสร้างได้เฉพาะกับสถานะการแนะนำพนักงานที่เป็น {0} เท่านั้น",Translated
718,"Additional Salary for this salary component with {0} enabled already exists for this date","เงินเดือนเพิ่มเติมสำหรับองค์ประกอบเงินเดือนนี้ที่เปิดใช้งาน {0} มีอยู่แล้วสำหรับวันที่นี้",Translated
723,"Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3}","เงินเดือนเพิ่มเติม: {0} มีอยู่แล้วสำหรับองค์ประกอบเงินเดือน: {1} สำหรับช่วงเวลา {2} และ {3}",Translated
728,"Address of Organizer","ที่อยู่ของผู้จัด",Translated
735,"Advance","เงินทดรอง",Translated
744,"Advance Account","บัญชีเงินทดรอง",Translated
750,"Advance Amount","จำนวนเงินทดรอง",Translated
756,"Advance Paid","จ่ายเงินทดรองแล้ว",Translated
768,"Advance Payments","การชำระเงินล่วงหน้า",Translated
775,"Advanced Filters","ตัวกรองขั้นสูง",Translated
782,"Advances","เงินทดรอง",Translated
786,"All","ทั้งหมด",Translated
790,"All Goals","เป้าหมายทั้งหมด",Translated
794,"All Jobs","งานทั้งหมด",Translated
798,"All allocated assets should be returned before submission","ต้องคืนสินทรัพย์ที่จัดสรรทั้งหมดก่อนส่ง",Translated
804,"All the mandatory tasks for employee creation are not completed yet.","งานที่จำเป็นทั้งหมดสำหรับการสร้างพนักงานยังไม่เสร็จสมบูรณ์",Translated
808,"Allocate Based On Leave Policy","จัดสรรตามนโยบายการลา",Translated
812,"Allocate Leave","จัดสรรวันลา",Translated
816,"Allocate Leaves","จัดสรรวันลา",Translated
821,"Allocate leaves to {0} employee(s)?","จัดสรรวันลาให้กับพนักงาน {0} คน?",Translated
827,"Allocate on Day","จัดสรรในวัน",Translated
831,"Allocated Amount","จำนวนเงินที่จัดสรร",Translated
835,"Allocated Leaves","วันลาที่จัดสรร",Translated
839,"Allocated {0} leave(s) via scheduler on {1} based on the 'Allocate on Day' option set to {2}","จัดสรรวันลา {0} วันผ่านตัวกำหนดเวลาในวันที่ {1} ตามตัวเลือก 'จัดสรรในวัน' ที่ตั้งค่าเป็น {2}",Translated
847,"Allocating Leave","กำลังจัดสรรวันลา",Translated
851,"Allocation","การจัดสรร",Translated
857,"Allocation Expired!","การจัดสรรหมดอายุ!",Translated
862,"Allow Employee Checkin from Mobile App","อนุญาตให้พนักงานบันทึกเวลาเข้างานจากแอพมือถือ",Translated
868,"Allow Encashment","อนุญาตให้แลกเป็นเงินสด",Translated
873,"Allow Geolocation Tracking","อนุญาตให้ติดตามตำแหน่งทางภูมิศาสตร์",Translated
880,"Allow Leave Application After (Working Days)","อนุญาตให้ยื่นใบลาหลัง (วันทำการ)",Translated
885,"Allow Multiple Shift Assignments for Same Date","อนุญาตให้มอบหมายหลายกะในวันเดียวกัน",Translated
890,"Allow Negative Balance","อนุญาตให้ยอดคงเหลือติดลบ",Translated
895,"Allow Over Allocation","อนุญาตให้จัดสรรเกิน",Translated
900,"Allow Tax Exemption","อนุญาตให้ยกเว้นภาษี",Translated
905,"Allow User","อนุญาตผู้ใช้",Translated
911,"Allow Users","อนุญาตผู้ใช้",Translated
917,"Allow check-out after shift end time (in minutes)","อนุญาตให้บันทึกเวลาออกหลังจากเวลาสิ้นสุดกะ (นาที)",Translated
923,"Allow the following users to approve Leave Applications for block days.","อนุญาตให้ผู้ใช้ต่อไปนี้อนุมัติใบลาสำหรับวันที่ถูกบล็อก",Translated
929,"Allows allocating more leaves than the number of days in the allocation period.","อนุญาตให้จัดสรรวันลามากกว่าจำนวนวันในรอบการจัดสรร",Translated
1036,"Alternating entries as IN and OUT during the same shift","รายการสลับเป็นเข้าและออกในระหว่างกะเดียวกัน",Translated
1059,"Amended From","แก้ไขจาก",Translated
1063,"Amount","จำนวนเงิน",Translated
1073,"Amount Based on Formula","จำนวนเงินตามสูตร",Translated
1079,"Amount based on formula","จำนวนเงินตามสูตร",Translated
1085,"Amount claimed via Expense Claim","จำนวนเงินที่เบิกผ่านการเบิกค่าใช้จ่าย",Translated
1091,"Amount of expense","จำนวนค่าใช้จ่าย",Translated
